CHASSIS_NUMBER,SALES_DEALER_ID,SALE_DATE,SALE_PRICE
VIN00032,DEALER_001,2023-07-29,153876.00
VIN00268,DEALER_001,2024-07-17,104175.00
VIN00277,DEALER_001,2023-11-02,212721.00
VIN00379,DEALER_001,2024-02-27,148505.00
VIN00381,DEALER_001,2024-04-11,88729.00
VIN00384,DEALER_001,2023-01-18,116347.00
VIN00430,DEALER_001,2024-02-02,79275.00
VIN00464,DEALER_001,2023-04-11,192456.00
VIN00557,DEALER_001,2023-08-07,159624.00
VIN00624,DEALER_001,2024-01-13,188651.00
VIN00631,DEALER_001,2024-11-04,156329.00
VIN00694,DEALER_001,2023-12-06,119123.00
VIN00715,DEALER_001,2023-09-29,105870.00
VIN00805,DEALER_001,2024-06-07,200025.00
VIN00837,DEALER_001,2024-04-07,107962.00
VIN00842,DEALER_001,2023-02-08,116490.00
VIN00874,DEALER_001,2024-11-18,101916.00
VIN00899,DEALER_001,2024-11-25,83839.00
VIN00995,DEALER_001,2023-04-28,165919.00
VIN01007,DEALER_001,2024-10-03,101145.00
VIN01065,DEALER_001,2024-11-09,106827.00
VIN01084,DEALER_001,2024-05-28,103553.00
VIN01139,DEALER_001,2023-05-29,91955.00
VIN01150,DEALER_001,2023-06-11,146845.00
VIN01154,DEALER_001,2024-12-21,146248.00
VIN01345,DEALER_001,2023-02-05,108321.00
VIN01347,DEALER_001,2023-11-04,151270.00
VIN01391,DEALER_001,2023-12-18,166734.00
VIN01480,DEALER_001,2024-05-20,84294.00
VIN01518,DEALER_001,2023-12-08,87685.00
VIN01661,DEALER_001,2023-10-23,174383.00
VIN01672,DEALER_001,2024-06-21,124904.00
VIN01701,DEALER_001,2024-12-06,92296.00
VIN01739,DEALER_001,2023-01-08,104879.00
VIN01782,DEALER_001,2024-03-14,107082.00
VIN01790,DEALER_001,2024-12-10,202148.00
VIN01923,DEALER_001,2023-04-09,169636.00
VIN01931,DEALER_001,2024-06-25,106110.00
VIN01934,DEALER_001,2023-04-12,106012.00
VIN02087,DEALER_001,2024-06-22,113259.00
VIN02099,DEALER_001,2023-11-28,144208.00
VIN02105,DEALER_001,2024-09-26,88982.00
VIN02355,DEALER_001,2024-11-19,104686.00
VIN02364,DEALER_001,2023-01-21,85712.00
VIN02380,DEALER_001,2024-03-13,165003.00
VIN02422,DEALER_001,2024-11-04,81238.00
VIN02431,DEALER_001,2024-12-10,84045.00
VIN02485,DEALER_001,2023-11-03,193971.00
VIN02565,DEALER_001,2023-12-12,105296.00
VIN02574,DEALER_001,2024-02-16,120430.00
VIN02623,DEALER_001,2024-05-27,111263.00
VIN02638,DEALER_001,2023-04-05,89094.00
VIN02647,DEALER_001,2024-05-18,76551.00
VIN02664,DEALER_001,2024-01-20,163758.00
VIN02766,DEALER_001,2023-11-18,125531.00
VIN02827,DEALER_001,2024-09-23,150231.00
VIN02838,DEALER_001,2024-08-05,89398.00
VIN02844,DEALER_001,2023-07-10,89674.00
VIN02924,DEALER_001,2024-10-09,88595.00
VIN02928,DEALER_001,2023-12-31,189870.00
VIN02950,DEALER_001,2023-04-19,139272.00
VIN02974,DEALER_001,2023-06-02,169486.00
VIN03001,DEALER_001,2024-03-02,81405.00
VIN03063,DEALER_001,2023-06-08,102450.00
VIN03093,DEALER_001,2024-04-14,81332.00
VIN03125,DEALER_001,2024-02-29,122570.00
VIN03126,DEALER_001,2023-01-27,149025.00
VIN03140,DEALER_001,2024-10-05,118440.00
VIN03159,DEALER_001,2024-11-06,140089.00
VIN03217,DEALER_001,2023-02-23,130009.00
VIN03231,DEALER_001,2024-11-17,151082.00
VIN03273,DEALER_001,2023-09-11,136985.00
VIN03299,DEALER_001,2024-05-25,103821.00
VIN03304,DEALER_001,2023-08-11,130773.00
VIN03306,DEALER_001,2024-03-16,198585.00
VIN03344,DEALER_001,2023-06-06,118785.00
VIN03361,DEALER_001,2024-08-17,195341.00
VIN03366,DEALER_001,2023-06-12,110722.00
VIN03394,DEALER_001,2024-02-22,78858.00
VIN03433,DEALER_001,2023-09-13,100863.00
VIN00004,DEALER_037,2024-07-29,87301.00
VIN00006,DEALER_037,2023-10-22,86738.00
VIN00023,DEALER_037,2024-09-02,101783.00
VIN00039,DEALER_037,2024-02-19,90186.00
VIN00075,DEALER_037,2024-11-10,81134.00
VIN00103,DEALER_037,2023-08-16,91282.00
VIN00111,DEALER_037,2023-03-23,77122.00
VIN00179,DEALER_037,2023-03-17,103106.00
VIN00209,DEALER_037,2023-11-17,105220.00
VIN00225,DEALER_037,2023-05-21,87413.00
VIN00273,DEALER_037,2023-02-08,82236.00
VIN00285,DEALER_037,2024-11-21,168814.00
VIN00336,DEALER_037,2024-09-04,196515.00
VIN00366,DEALER_037,2023-08-15,103781.00
VIN00397,DEALER_037,2023-06-25,79209.00
VIN00425,DEALER_037,2024-03-17,91207.00
VIN00434,DEALER_037,2024-03-21,85542.00
VIN00445,DEALER_037,2023-11-30,88822.00
VIN00454,DEALER_037,2024-09-04,92203.00
VIN00486,DEALER_037,2023-04-15,170198.00
VIN00500,DEALER_037,2024-01-28,112862.00
VIN00505,DEALER_037,2024-01-03,76814.00
VIN00546,DEALER_037,2023-12-18,78086.00
VIN00548,DEALER_037,2023-06-11,90960.00
VIN00560,DEALER_037,2023-12-18,80451.00
VIN00585,DEALER_037,2024-07-13,82161.00
VIN00597,DEALER_037,2024-03-20,80300.00
VIN00600,DEALER_037,2023-05-21,76871.00
VIN00629,DEALER_037,2024-07-08,87851.00
VIN00638,DEALER_037,2023-04-08,93061.00
VIN00656,DEALER_037,2024-02-19,91317.00
VIN00667,DEALER_037,2024-02-09,137757.00
VIN00673,DEALER_037,2023-10-14,89050.00
VIN00689,DEALER_037,2024-07-31,103656.00
VIN00690,DEALER_037,2024-05-19,139264.00
VIN00692,DEALER_037,2023-08-27,83669.00
VIN00696,DEALER_037,2023-06-01,81141.00
VIN00738,DEALER_037,2023-06-24,86062.00
VIN00747,DEALER_037,2023-12-19,90065.00
VIN00751,DEALER_037,2024-05-02,131292.00
VIN00753,DEALER_037,2024-08-08,81331.00
VIN00767,DEALER_037,2024-09-15,206501.00
VIN00781,DEALER_037,2024-12-27,93106.00
VIN00783,DEALER_037,2023-01-30,104693.00
VIN00788,DEALER_037,2024-01-17,92516.00
VIN00792,DEALER_037,2023-02-20,81838.00
VIN00793,DEALER_037,2023-08-08,128753.00
VIN00820,DEALER_037,2023-05-12,84975.00
VIN00833,DEALER_037,2024-04-13,103693.00
VIN00855,DEALER_037,2024-05-31,82037.00
