CHASSIS_NUMBER,MODEL,YEAR,ENGINE_TYPE,MSRP,RELIABILITY_RATING
VIN00001,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00002,T2000,2020,Diesel Turbo,85000,4
VIN00003,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00004,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00005,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00006,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00007,T6000,2021,Diesel Turbo,135000,3
VIN00008,T2000,2024,Diesel Turbo,85000,4
VIN00009,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00010,T2000,2020,Diesel Turbo,85000,4
VIN00011,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00012,T4000,2020,Diesel Turbo,110000,4
VIN00013,T6000,2020,Diesel 6-Cylinder,135000,3
VIN00014,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00015,T2000,2021,Diesel Turbo,85000,4
VIN00016,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00017,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00018,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00019,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00020,T9000,2021,Diesel 6-Cylinder,195000,2
VIN00021,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00022,T8000,2020,Diesel 6-Cylinder,160000,3
VIN00023,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00024,T9000,2023,Diesel 8-Cylinder,195000,2
VIN00025,T4000,2024,Diesel Turbo,110000,4
VIN00026,T6000,2021,Diesel 6-Cylinder,135000,3
VIN00027,T2000,2020,Diesel Turbo,85000,4
VIN00028,T6000,2020,Diesel Turbo,135000,3
VIN00029,T2000,2020,Diesel Turbo,85000,4
VIN00030,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00031,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00032,T8000,2020,Diesel Turbo,160000,3
VIN00033,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00034,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00035,T4000,2020,Diesel Turbo,110000,4
VIN00036,T2000,2024,Diesel Turbo,85000,4
VIN00037,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00038,T6000,2022,Diesel 6-Cylinder,135000,3
